,resting_heart_rate,hrv,sleep_hours,rem_sleep_minutes,deep_sleep_minutes,light_sleep_minutes,sleep_efficiency,respiratory_rate,skin_temp_celsius,calories_burned,strain_score,recovery_score
resting_heart_rate,1.0,-0.287,-0.446,-0.256,-0.381,-0.451,-0.122,-0.161,0.025,0.114,0.153,-0.272
hrv,-0.287,1.0,0.554,0.358,0.386,0.581,0.176,0.053,-0.027,-0.22,-0.168,0.655
sleep_hours,-0.446,0.554,1.0,0.827,0.795,0.928,0.34,0.012,-0.057,-0.183,-0.223,0.701
rem_sleep_minutes,-0.256,0.358,0.827,1.0,0.725,0.605,0.368,0.03,0.019,-0.034,-0.08,0.579
deep_sleep_minutes,-0.381,0.386,0.795,0.725,1.0,0.565,0.314,-0.045,-0.005,-0.153,-0.137,0.554
light_sleep_minutes,-0.451,0.581,0.928,0.605,0.565,1.0,0.258,0.027,-0.098,-0.215,-0.268,0.654
sleep_efficiency,-0.122,0.176,0.34,0.368,0.314,0.258,1.0,0.029,0.055,-0.234,-0.113,0.276
respiratory_rate,-0.161,0.053,0.012,0.03,-0.045,0.027,0.029,1.0,0.004,0.09,0.074,-0.043
skin_temp_celsius,0.025,-0.027,-0.057,0.019,-0.005,-0.098,0.055,0.004,1.0,-0.046,-0.033,0.058
calories_burned,0.114,-0.22,-0.183,-0.034,-0.153,-0.215,-0.234,0.09,-0.046,1.0,0.765,-0.2
strain_score,0.153,-0.168,-0.223,-0.08,-0.137,-0.268,-0.113,0.074,-0.033,0.765,1.0,-0.218
recovery_score,-0.272,0.655,0.701,0.579,0.554,0.654,0.276,-0.043,0.058,-0.2,-0.218,1.0
